Region,BHK,Title,SQFT,Rate,Bathrooms,Type,Possession,Price
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,525,8571.0,1 Bathrooms,Sale,Jun'18,45.0
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,424,7127.0,1 Bathrooms,Sale,Dec'18,30.21
Whitefield,1,1BHK Apartment in Whitefield,588,6837.0,1 Bathrooms,Sale,Jun'20,40.2
Whitefield,1, 1 BHK Apartment in Whitefield,588,9643.0,1 Bathrooms,Sale,Dec'20,56.7
Whitefield,1, 1 BHK Apartment in Whitefield,626,9744.0,1 Bathrooms,Sale,Dec'20,61.0
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,437,7132.0,1 Bathrooms,Sale,Dec'18,31.16
Whitefield,1,1BHK Apartment in Whitefield,626,9201.0,1 Bathrooms,Sale,Dec'20,57.6
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,626,6128.0,1 Bathrooms,Sale,Dec'20,38.36
Whitefield,1,1BHK Apartment in Whitefield,462,6426.0,1 Bathrooms,Sale,Dec'21,29.69
Whitefield,1,1BHK Apartment in Whitefield,518,4633.0,1 Bathrooms,Sale,Dec'20,24.0
Whitefield,1,1BHK Apartment in Whitefield,754,6082.0,2 Bathrooms,Sale,Apr'18,45.85
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,429,8573.0,1 Bathrooms,Sale,Dec'19,36.78
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,437,7125.0,1 Bathrooms,Sale,Dec'18,31.13
Whitefield,1,1BHK Apartment in Whitefield,454,7278.0,1 Bathrooms,Sale,Mar'18,33.04
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,460,7998.0,1 Bathrooms,Sale,Dec'19,36.79
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,624,7532.0,1 Bathrooms,Sale,Mar'18,47.0
Whitefield,1,1BHK Apartment in Whitefield,435,6828.0,1 Bathrooms,Sale,Jul'21,29.7
Whitefield,1,1BHK Apartment in Whitefield,614,9756.0,1 Bathrooms,Sale,Dec'19,59.9
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,454,8564.0,1 Bathrooms,Sale,Dec'19,38.88
Whitefield,1,1BHK Apartment in Whitefield,614,8958.0,1 Bathrooms,Sale,Mar'19,55.0
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,424,7120.0,1 Bathrooms,Sale,Dec'18,30.18
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,429,8573.0,1 Bathrooms,Sale,Dec'19,36.78
Whitefield,1,1BHK Apartment in Whitefield,462,6141.0,1 Bathrooms,Sale,Dec'21,28.37
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,626,6127.0,1 Bathrooms,Sale,Dec'20,38.35
Whitefield,1,1BHK Apartment in Whitefield,626,9489.0,1 Bathrooms,Sale,Jun'20,59.4
Whitefield,1, 1 BHK Apartment in Whitefield,493,6283.0,1 Bathrooms,Sale,May'18,30.97
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,424,7127.0,1 Bathrooms,Sale,Dec'18,30.21
Whitefield,1,1BHK Apartment in Whitefield,497,8451.0,1 Bathrooms,Sale,Mar'18,42.0
Whitefield,1,1BHK Apartment in Whitefield,350,12000.0,1 Bathrooms,Sale,Mar'18,42.0
Whitefield,1,Semi Furnished 1BHK Apartment in Whitefield,437,7128.0,1 Bathrooms,Sale,Dec'18,31.14
Whitefield,2,Semi Furnished 2BHK Apartment in Kadugodi,949,8418.0,2 Bathrooms,Sale,Feb'18,79.89
Whitefield,2,2BHK Apartment in Whitefield,789,10009.0,2 Bathrooms,Sale,Apr'18,78.97
Whitefield,2,2BHK Apartment in Whitefield,734,11308.0,2 Bathrooms,Sale,May'18,83.0
Whitefield,2,2BHK Apartment in Whitefield,1352,5547.0,2 Bathrooms,Sale,Jan'18,75.0
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,733,8142.0,2 Bathrooms,Sale,Nov'19,59.67
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,707,7496.0,2 Bathrooms,Sale,May'18,53.0
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,908,10463.0,2 Bathrooms,Sale,Jun'18,95.0
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,777,8366.0,2 Bathrooms,Sale,Jun'18,65.0
Whitefield,2,2BHK Apartment in Whitefield,708,7062.0,2 Bathrooms,Sale,Dec'18,50.0
Whitefield,2,2BHK Apartment in Whitefield,867,6344.0,2 Bathrooms,Sale,May'18,55.0
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,786,7715.0,2 Bathrooms,Sale,Dec'20,60.64
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,945,6129.0,2 Bathrooms,Sale,Dec'20,57.91
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,708,7130.0,2 Bathrooms,Sale,Dec'18,50.47
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,1021,8574.0,2 Bathrooms,Sale,Dec'19,87.54
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,1200,704.0,2 Bathrooms,Sale,May'18,8.45
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,708,7126.0,2 Bathrooms,Sale,Dec'18,50.44
Whitefield,2,2BHK Apartment in Whitefield,515,11456.0,2 Bathrooms,Sale,Jan'18,59.0
Whitefield,2,2BHK Apartment in Whitefield,893,6383.0,2 Bathrooms,Sale,May'18,57.0
Whitefield,2,2BHK Apartment in Whitefield,875,6400.0,2 Bathrooms,Sale,May'18,56.0
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,1050,10000.0,2 Bathrooms,Sale,Jun'18,105.0
Whitefield,2,2BHK Apartment in Whitefield,900,8556.0,2 Bathrooms,Sale,Jul'18,77.0
Whitefield,2,2BHK Apartment in Whitefield,855,8234.0,2 Bathrooms,Sale,Dec'18,70.4
Whitefield,2,Semi Furnished 2BHK Apartment in Varthur,1000,6700.0,2 Bathrooms,Sale,May'18,67.0
Whitefield,2,2BHK Apartment in Whitefield,1050,6190.0,2 Bathrooms,Sale,Jun'18,65.0
Whitefield,2,2BHK Apartment in Whitefield,857,8693.0,2 Bathrooms,Sale,May'18,74.5
Whitefield,2,2BHK Apartment in Whitefield,970,5979.0,2 Bathrooms,Sale,May'18,58.0
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,900,8556.0,2 Bathrooms,Sale,Dec'18,77.0
Whitefield,2,Semi Furnished 2BHK Apartment in Whitefield,1135,9002.0,2 Bathrooms,Sale,Dec'19,102.0
Whitefield,2,2BHK Apartment in Whitefield,993,10574.0,2 Bathrooms,Sale,May'18,105.0
Whitefield,2,2BHK Apartment in Whitefield,658,3585.0,2 Bathrooms,Sale,Dec'20,23.59
Whitefield,3,Semi Furnished 3BHK Apartment in Whitefield,1232,11526.0,3 Bathrooms,Sale,Feb'18,142.0
Whitefield,3,3BHK Apartment in Whitefield,1050,6381.0,3 Bathrooms,Sale,May'18,67.0
Whitefield,3,Fully Furnished 3BHK Apartment in Whitefield,1750,16000.0,3 Bathrooms,Sale,May'18,280.0
Whitefield,3,Semi Furnished 3BHK Apartment in Whitefield,2215,6772.0,4 Bathrooms,Sale,Feb'18,150.0
