Whitefield,"707"
Sarjapur Road,"27694"
Electronic City Phase I,"240"
Marathahalli,"7"
HSR Layout,"8"
Koramangala,"380"
Bellandur,"29277"
Bannerghatta Road,"15"
Mahadevapura,"416"
JP Nagar,"28647"
BTM Layout,"138"
Doddenakundi,"26019"
Kanakapura Road,"24126"
Indira Nagar,"307"
K R Puram,"27773"
Brookefield,"20"
Thanisandra Main Road,"33405"
Yelahanka,"714"
Hennur Road,"27185"
Horamavu,"294"
Ramamurthy Nagar,"27097"
Jayanagar,"321"
Hosur Road,"27"
Panathur,"24116"
Electronic City Phase II,"37958"
Hebbal,"283"
Kundalahalli,"14"
Marathahalli-Sarjapur Outer Ring Road,"2"
Kaggadasapura,"345"
CV Raman Nagar,"28401"
Banashankari,"94"
Hosa Road,"36638"
Old Airport Road,"35"
Old Madras Road,"505"
Budigere,"25163"
Hoodi,"293"
Off Sarjapur road,"40097"
Varthur,"673"
Sarjapur,"587"
Harlur,"26371"
Rajaji Nagar,"543"
Bommanahalli,"31045"
Haralur Road,"13"
Kadugodi,"343"
HBR Layout,"282"
Raja Rajeshwari Nagar,"27088"
Kasturi Nagar,"23658"
Yeshwanthpur,"718"
Domlur,"228"
Vijayanagar,"27846"
Kalyan Nagar,"351"
Thubarahalli,"25735"
RT Nagar,"27112"
Banaswadi,"95"
Begur Road,"26252"
Kasavanahalli,"5236"
Bilekahalli,"24146"
Malleshwaram,"425"
Chandapura,"156"
Yelahanka New Town,"24214"
Vidyaranyapura,"686"
Thanisandra,"646"
Hennur,"287"
AECS Layout,"6514"
Devanahalli,"27509"
Ulsoor,"662"
Chandapura Anekal Road,"30665"
Kadubeesanahalli,"44548"
Begur,"108"
Marathahalli ORR,"36069"
Doddaballapur Road,"223"
Jalahalli West,"35836"
Mysore Road,"466"
Sahakara Nagar,"572"
Jakkur,"317"
Bellandur Outer Ring Road,"3"
Basaveshwara Nagar,"105"
Murugeshpalya,"29878"
Uttarahalli,"666"
HSR Layout Sector 2,"44872"
Munnekollal,"44634"
JP Nagar Phase 8,"44463"
Basavanagudi,"102"
JP Nagar Phase 7,"44462"
Tumkur Road,"27500"
Ejipura,"239"
Nagarbhavi,"29317"
Singasandra,"609"
Mathikere,"436"
Kudlu Gate,"28594"
Hoskote,"298"
Jigani,"326"
